date,Person.ID,Dept.No.,Faculty.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
2008-01-01,5232,2578.0,25.0,1.0,4.0,3.0,1.0,7.0,6.0,6.0,4.0
2008-01-01,77807,2578.0,25.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2008-01-01,28797,2768.0,25.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,1.0
2008-01-01,714027,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,16452,,,,,0.0,0.0,1.0,8.0,13.0,8.0
2008-01-01,22582,3198.0,31.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0
2008-01-01,8062,3198.0,31.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,80982,,,,,0.0,0.0,1.0,8.0,3.0,2.0
2008-01-01,70487,2853.0,25.0,,,2.0,4.0,2.0,8.0,5.0,10.0
2008-01-01,73942,2728.0,25.0,1.0,3.0,3.0,1.0,9.0,18.0,7.0,5.0
2008-01-01,158617,2738.0,25.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,78827,2498.0,25.0,1.0,4.0,2.0,2.0,8.0,17.0,10.0,2.0
2008-01-01,60517,1098.0,1.0,1.0,2.0,2.0,5.0,1.0,18.0,3.0,0.0
2008-01-01,107242,1098.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,66887,2813.0,25.0,,0.0,5.0,15.0,0.0,9.0,2.0,0.0
2008-01-01,497907,2578.0,25.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0
2008-01-01,802167,2603.0,25.0,,1.0,2.0,4.0,1.0,0.0,0.0,0.0
2008-01-01,63757,2553.0,25.0,1.0,4.0,0.0,1.0,6.0,5.0,1.0,5.0
2008-01-01,70647,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,16987,2653.0,25.0,,3.0,2.0,1.0,72.0,28.0,6.0,4.0
2008-01-01,53202,3048.0,31.0,1.0,2.0,2.0,2.0,17.0,4.0,2.0,3.0
2008-01-01,68202,118.0,118.0,,0.0,2.0,0.0,3.0,4.0,6.0,4.0
2008-03-01,874467,3198.0,31.0,,1.0,1.0,1.0,3.0,12.0,4.0,9.0
2008-01-18,76352,2523.0,25.0,1.0,3.0,1.0,0.0,14.0,22.0,13.0,2.0
2008-01-18,79192,2523.0,25.0,1.0,4.0,5.0,12.0,0.0,0.0,0.0,0.0
2008-01-18,730127,2678.0,25.0,,,1.0,5.0,0.0,0.0,0.0,0.0
2008-01-22,938937,2813.0,25.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2008-01-22,101532,2538.0,25.0,,1.0,2.0,7.0,0.0,0.0,0.0,0.0
2008-01-29,63047,,,,,0.0,0.0,4.0,4.0,7.0,4.0
2008-01-29,69517,1258.0,34.0,1.0,4.0,2.0,3.0,10.0,6.0,16.0,61.0
