id,RFCD.Code,RFCD.Percentage
6641,32,100.0
6647,38,100.0
6649,24,100.0
6650,32,100.0
6655,32,100.0
6659,32,100.0
6662,32,100.0
6667,27,80.0
6667,30,20.0
6671,32,100.0
6674,27,100.0
6679,27,25.0
6679,32,75.0
6682,27,80.0
6682,32,20.0
6683,32,100.0
6687,25,50.0
6687,32,50.0
6688,30,20.0
6688,38,80.0
6694,24,100.0
6704,27,20.0
6704,32,80.0
6706,32,100.0
6710,32,100.0
6711,32,100.0
6716,30,100.0
6717,30,35.0
6717,31,30.0
6717,37,35.0
6718,27,100.0
6720,30,100.0
6723,36,90.0
6723,44,10.0
6724,32,100.0
6727,30,100.0
6733,32,100.0
6736,32,100.0
6738,32,100.0
6739,27,60.0
6739,32,20.0
6741,32,100.0
6747,32,100.0
6749,27,20.0
6749,32,80.0
6750,36,80.0
6750,44,20.0
6754,27,100.0
6755,32,100.0
6758,32,100.0
6763,32,100.0
6773,30,100.0
6776,29,100.0
6778,25,100.0
6783,32,100.0
6784,32,100.0
6791,37,10.0
6791,43,90.0
6796,30,100.0
6804,29,40.0
6804,30,60.0
6809,29,100.0
6810,23,40.0
6810,29,60.0
6812,27,90.0
6812,37,10.0
6814,36,100.0
6821,32,100.0
6825,27,20.0
6825,32,80.0
6827,32,60.0
6827,33,20.0
6827,37,20.0
6855,32,100.0
6856,30,100.0
6857,29,100.0
6863,29,100.0
6866,32,100.0
6867,31,100.0
6868,32,100.0
6872,30,100.0
6875,37,50.0
6875,41,50.0
6878,28,100.0
6880,34,100.0
6884,29,100.0
6887,33,100.0
6890,32,100.0
6892,32,100.0
6895,30,100.0
6897,33,100.0
6903,35,50.0
6903,42,50.0
6908,30,100.0
6909,27,100.0
6911,32,100.0
6913,29,100.0
6914,26,100.0
6917,27,30.0
6917,32,70.0
6923,32,40.0
6923,37,60.0
6924,23,60.0
6924,29,40.0
6926,25,100.0
6936,32,100.0
6939,32,100.0
6943,31,100.0
6944,32,100.0
6945,32,100.0
6946,27,20.0
6946,32,80.0
6949,32,100.0
6956,32,100.0
6957,32,100.0
6961,32,100.0
6962,32,100.0
6965,32,100.0
6970,32,100.0
6979,32,100.0
6982,32,100.0
6984,32,100.0
6986,32,100.0
6990,32,100.0
6992,32,100.0
6993,32,100.0
6998,32,100.0
7003,32,100.0
7004,32,100.0
7012,32,100.0
7014,32,100.0
7020,27,100.0
7026,32,100.0
7031,32,100.0
7044,32,100.0
7045,32,100.0
7046,32,100.0
7054,32,100.0
7056,32,100.0
7057,32,100.0
7061,32,100.0
7076,32,100.0
