id,Person.ID,Roles
1,40572,
2,9067,
3,5967,
4,78782,
5,13042,
6,301472,
7,74292,
8,1642,
9,1012,
10,89462,
11,67272,
12,1797,
13,73882,
14,38457,
15,9067,
16,69482,
17,1797,
18,26882,
19,69517,
20,592577,
21,15282,
22,25947,
23,9067,
24,4902,
25,78947,
26,36527,
27,16137,
28,20927,
29,1797,
30,3067,
31,39817,
32,69032,
33,69262,
34,4247,
35,5287,
36,66887,
37,70662,
38,69812,
39,35382,
40,149767,
41,63562,
42,71867,
43,142457,
44,74162,
45,67647,
46,63492,
47,26877,
48,69812,
49,491312,
50,66672,
51,70662,
52,30977,
53,30457,
54,79802,
55,10577,
56,85642,
59,82377,
61,46237,
63,9227,
64,16137,
65,69147,
66,15187,
67,43882,
68,30017,
69,1217,
70,489582,
71,76352,
72,81067,
73,74162,
74,66657,
75,66902,
76,79057,
77,22972,
78,4222,
79,1797,
80,85642,
81,5967,
82,76352,
83,74302,
84,131257,
85,56387,
86,39632,
87,85642,
88,8012,
89,71867,
91,12957,
92,8772,
93,73017,
94,125287,
95,497907,
96,1687,
98,132232,
99,28682,
100,67622,
101,115417,
102,19362,
103,73737,
105,69952,
107,74932,
108,26857,
109,79427,
110,730092,
111,7947,
112,38697,
114,34737,
115,27757,
116,712,
117,726602,
118,80187,
119,84627,
120,73882,
121,118747,
122,85642,
123,69262,
124,80377,
125,18377,
126,148087,
127,48892,
128,67282,
129,77112,
130,12957,
131,22792,
132,612,
133,12957,
134,78752,
135,81067,
136,148087,
137,26107,
138,73017,
139,492057,
140,80502,
141,68817,
142,68512,
144,64277,
145,783297,
146,16332,
147,393152,
148,65712,
149,40947,
150,93802,
152,159607,
153,6712,
154,34177,
155,624752,
156,107667,
157,86302,
159,500137,
160,1797,
161,34737,
163,122392,
164,30772,
165,63962,
166,145057,
167,25947,
168,46377,
169,15162,
170,4702,
171,147722,
172,89472,
174,72317,
175,917,
176,71442,
177,67412,
178,78817,
179,4302,
180,500157,
181,1797,
182,69212,
183,17622,
184,77887,
185,20122,
186,12957,
187,86672,
188,68472,
189,9227,
190,28342,
191,77327,
192,74142,
194,67282,
195,11342,
196,55437,
197,79562,
198,46697,
199,84622,
201,17342,
202,26887,
203,649042,
204,8667,
205,99052,
206,67182,
207,135457,
208,98212,
209,44022,
210,69657,
211,67932,
212,15287,
213,79217,
214,813567,
215,145857,
216,43597,
217,24017,
218,77977,
219,9757,
220,34417,
221,85642,
222,14757,
223,79747,
226,74372,
227,67282,
228,73402,
229,73547,
230,641012,
231,8377,
232,27757,
233,67097,
234,25117,
235,64507,
236,117502,
237,5382,
238,491327,
239,12957,
240,4302,
241,74047,
242,74372,
243,65657,
244,73547,
245,89472,
246,80817,
247,12957,
248,4502,
249,64307,
250,22707,
252,8012,
253,614142,
254,10522,
255,74142,
256,593492,
257,176127,
258,636257,
259,734322,
260,1797,
261,2252,
262,9402,
263,36527,
264,5287,
265,11837,
266,28622,
267,12957,
268,6712,
269,70322,
270,82527,
271,4797,
272,44697,
273,76022,
274,64077,
275,64777,
277,28607,
278,80387,
279,71442,
280,9417,
282,64347,
283,106227,
284,15282,
285,66917,
287,70322,
288,11342,
289,66932,
291,4492,
292,111122,
293,17367,
294,34502,
295,113607,
296,122392,
298,74162,
299,66187,
300,130642,
302,74077,
303,72622,
304,3327,
305,77582,
306,22982,
307,12542,
308,68817,
309,17622,
311,129752,
312,361647,
313,67577,
315,36252,
316,75652,
317,70947,
318,74162,
319,144652,
320,2477,
321,32522,
322,85642,
323,12282,
324,537,
325,32892,
326,73547,
327,23442,
328,720017,
329,20357,
330,45462,
331,78782,
332,730232,
333,612,
334,79242,
335,6747,
336,69812,
337,1797,
338,66782,
339,573352,
340,3762,
341,67297,
342,18832,
343,62902,
344,66737,
345,80377,
346,103002,
347,24017,
348,69222,
349,69812,
350,110472,
351,9657,
353,636677,
354,129757,
355,1737,
356,75972,
357,16137,
358,7952,
359,81187,
360,85862,
361,74162,
362,111192,
363,63192,
364,66152,
365,98212,
366,491302,
367,79032,
368,63137,
370,33312,
372,713112,
373,25662,
374,159607,
375,147717,
376,55437,
377,67647,
378,12887,
380,78637,
381,23412,
382,63782,
383,697842,
384,73652,
385,18752,
386,58747,
388,89902,
389,329757,
390,28607,
391,612,
392,34737,
393,22077,
394,720017,
395,81187,
396,74162,
397,63782,
398,79242,
399,675742,
400,23912,
401,66092,
402,70832,
403,6807,
404,69517,
405,125287,
406,51502,
407,77977,
408,105342,
409,13687,
410,78727,
412,66737,
413,27307,
414,79032,
415,73882,
416,63117,
417,47517,
418,149767,
419,72037,
420,12917,
421,6077,
422,663742,
423,10267,
424,34502,
425,80457,
426,734322,
427,64162,
428,67647,
429,81117,
430,77162,
431,74372,
433,78962,
434,72467,
435,80377,
436,76022,
438,114227,
439,907,
